               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090174,            0.030885,            0.059386,          0.00026696,            0.070267,          0.00030053,          6.7693e-05,            0.072714,            0.013801,            0.050263,            0.070273,            0.003303,            0.003303
                   1,            0.083675,            0.032299,            0.055477,           0.0014649,             0.30892,           0.0029317,          0.00065722,            0.072479,            0.013329,            0.044103,            0.040207,           0.0065707,           0.0065707
                   2,            0.079195,            0.031481,             0.04988,             0.66856,            0.032258,           0.0020244,          0.00045155,            0.080361,            0.014003,            0.070344,            0.010075,           0.0097723,           0.0097723
                   3,            0.073019,            0.030962,            0.044556,            0.002638,             0.32493,            0.019335,           0.0057136,            0.064257,            0.016894,            0.059952,            0.009703,            0.009703,            0.009703
                   4,            0.069708,            0.032343,            0.040435,              0.5323,             0.16586,            0.063549,              0.0191,            0.056522,            0.014353,             0.03426,            0.009703,            0.009703,            0.009703
                   5,            0.066874,            0.032362,            0.036639,             0.46273,             0.19814,             0.17422,            0.068927,            0.053218,            0.014823,            0.026065,            0.009604,            0.009604,            0.009604
                   6,            0.063879,            0.030537,            0.034337,             0.48376,             0.30174,              0.2022,            0.091952,            0.050869,            0.013173,            0.022876,            0.009505,            0.009505,            0.009505
                   7,            0.060456,            0.030094,            0.032188,             0.69728,             0.21561,             0.23816,            0.091769,            0.050074,            0.012073,            0.021707,            0.009406,            0.009406,            0.009406
                   8,            0.059207,            0.029857,            0.031383,             0.67593,             0.25566,             0.25082,              0.1156,            0.054367,            0.012985,            0.023214,            0.009307,            0.009307,            0.009307
                   9,            0.057557,             0.02917,            0.030205,             0.72552,             0.28815,             0.31911,             0.14519,            0.049186,            0.012374,            0.024691,            0.009208,            0.009208,            0.009208
                  10,            0.056564,            0.028218,            0.029539,             0.72932,             0.28979,             0.43193,             0.19746,            0.047339,             0.01128,            0.018881,            0.009109,            0.009109,            0.009109
